,,,Assay 2,,Right,75 ,75 ,75 ,0.0 ,-,32 ,BQL,,32 ,1 ,32 ,1 ,,,,,M040,,,,,
,,,Assay 2,Optic nerve,Left,2014 ,2013 ,2014 ,0.0 ,113 ,13 ,"1,443 ",,13 ,1 ,13 ,1 ,,,,,M057,,,,,
,,,Assay 2,,Right,1457 ,1488 ,1473 ,1.5 ,80 ,9 ,700 ,,9 ,1 ,9 ,1 ,,,,,M058,,,,,
,,,Reanalysis 3,Iris,Left,321 ,327 ,324 ,1.3 ,8 ,6 ,46 ,,6 ,1 ,6 ,1 ,,,,,M075,,,,,
,,,Reanalysis 3,,Right,77 ,85 ,81 ,7.0 ,-,7 ,BQL,,7 ,1 ,7 ,1 ,,,,,M076,,,,,
,,,Assay 4,Aqueous,Left,168 ,167 ,168 ,0.4 ,2 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M091,,,,,
,,,Assay 4,,Right,161 ,160 ,161 ,0.4 ,2 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M092,,,,,
,,,Assay 4,Serum,-,100 ,114 ,107 ,9.3 ,-,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M110,,,,,
,1103,D113,Assay 1,Retina,Left,77 ,75 ,76 ,1.9 ,-,7 ,BQL,,7 ,1 ,7 ,1 ,,,,,M005,,,,,
,,,Assay 1,,Right,75 ,76 ,76 ,0.9 ,-,18 ,BQL,,18 ,1 ,18 ,1 ,,,,,M006,,,,,
,,,Assay 1,Vitreous,Left,96 ,92 ,94 ,3.0 ,1 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M023,,,,,
,,,Assay 1,,Right,87 ,90 ,89 ,2.4 ,0 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M024,,,,,
,,,Assay 2,Choroid,Left,72 ,68 ,70 ,4.0 ,-,15 ,BQL,,15 ,1 ,15 ,1 ,,,,,M041,,,,,
,,,Assay 2,,Right,73 ,80 ,77 ,6.5 ,-,19 ,BQL,,19 ,1 ,19 ,1 ,,,,,M042,,,,,
,,,Assay 2,Optic nerve,Left,71 ,67 ,69 ,4.1 ,-,13 ,BQL,,13 ,1 ,13 ,1 ,,,,,M059,,,,,
,,,Assay 2,,Right,69 ,70 ,70 ,1.0 ,-,13 ,BQL,,13 ,1 ,13 ,1 ,,,,,M060,,,,,
,,,Reanalysis 3,Iris,Left,78 ,79 ,79 ,0.9 ,-,4 ,BQL,,4 ,1 ,4 ,1 ,,,,,M077,,,,,
,,,Reanalysis 3,,Right,88 ,84 ,86 ,3.3 ,-,6 ,BQL,,6 ,1 ,6 ,1 ,,,,,M078,,,,,
,,,Assay 4,Aqueous,Left,158 ,181 ,170 ,9.6 ,3 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M095,,,,,
,,,Assay 4,,Right,177 ,170 ,174 ,2.9 ,3 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M096,,,,,
,,,Assay 4,Serum,-,116 ,120 ,118 ,2.4 ,0 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M111,,,,,
,BQL: Below the quantification limit (< 5.00 ng/mL),,,,,,,,,,,,,,,,,,,,,,,,,,
,AQL: Above the quantification limit (> 200 ng/mL),,,,,,,,,,,,,,,,,,,,,,,,,,
,-: Not calculated,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,최종,최종 ,초회,1차 재분석,2차 재분석,3차 재분석,4차 재분석,,,,,,
,,,,,,,,,,,,,,장기중량,시료 희석,최종희석배수,시료희석,시료희석,시료희석,시료희석,시료희석,,,,,,
,Animal ID,"Sampling
point","Analysis
name",Tissue,Side,Signal,,,,"Conc.
(ng/mL)","Dilution
factor","Final Conc.
(ng/mL)",,"Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor",검체 ID,,,,,
,,,,,,1,2,Mean,CV%,,,,,,,,,,,,,,,,,,
,1201,D113,Assay 1,Retina,Left,935 ,945 ,940 ,0.8 ,42 ,18 ,756 ,,18 ,1 ,18 ,1 ,,,,,M007,,,,,
,,,Reanalysis 2,,Right,938 ,939 ,939 ,0.1 ,36 ,30 ,"1,084 ",,6 ,5 ,30 ,1 ,,,,,M008,,,,,
,,,Reanalysis 2,Vitreous,Left,995 ,1015 ,1005 ,1.4 ,38 ,20 ,769 ,,1 ,20 ,20 ,1 ,,,,,M025,,,,,
,,,Reanalysis 2,,Right,885 ,859 ,872 ,2.1 ,33 ,50 ,"1,633 ",,1 ,50 ,50 ,1 ,,,,,M026,,,,,
,,,Assay 2,Choroid,Left,533 ,523 ,528 ,1.3 ,26 ,22 ,558 ,,22 ,1 ,22 ,1 ,,,,,M043,,,,,
,,,Assay 2,,Right,707 ,684 ,696 ,2.3 ,35 ,25 ,871 ,,25 ,1 ,25 ,1 ,,,,,M044,,,,,
,,,Reanalysis 3,Optic nerve,Left,119 ,128 ,124 ,5.2 ,1 ,42 ,BQL,,42 ,1 ,42 ,1 ,,,,,M061,,,,,
,,,Reanalysis 3,,Right,2953 ,2962 ,2958 ,0.2 ,115 ,12 ,"1,400 ",,12 ,1 ,12 ,1 ,,,,,M062,,,,,
,,,Reanalysis 3,Iris,Left,1211 ,1140 ,1176 ,4.3 ,41 ,62 ,"2,554 ",,6 ,10 ,62 ,1 ,,,,,M079,,,,,
,,,Reanalysis 3,,Right,2069 ,2034 ,2052 ,1.2 ,77 ,6 ,442 ,,6 ,1 ,6 ,1 ,,,,,M080,,,,,
,,,Reanalysis 4,Aqueous,Left,771 ,777 ,774 ,0.5 ,29 ,40 ,"1,169 ",,1 ,40 ,40 ,1 ,,,,,M097,,,,,
,,,Reanalysis 6,,Right,684 ,683 ,684 ,0.1 ,25 ,5 ,123 ,,1 ,5 ,5 ,1 ,,,,,M098,,,,,
,,,Assay 4,Serum,-,127 ,125 ,126 ,1.1 ,1 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M112,,,,,
,1202,D113,Reanalysis 2,Retina,Left,1077 ,1073 ,1075 ,0.3 ,41 ,34 ,"1,392 ",,7 ,5 ,34 ,1 ,,,,,M009,,,,,
,,,Reanalysis 2,,Right,938 ,939 ,939 ,0.1 ,36 ,48 ,"1,701 ",,10 ,5 ,48 ,1 ,,,,,M010,,,,,
,,,Reanalysis 2,Vitreous,Left,1105 ,1140 ,1123 ,2.2 ,44 ,50 ,"2,178 ",,1 ,50 ,50 ,1 ,,,,,M027,,,,,
,,,Reanalysis 2,,Right,1220 ,1153 ,1187 ,4.0 ,46 ,50 ,"2,318 ",,1 ,50 ,50 ,1 ,,,,,M028,,,,,
,,,Assay 2,Choroid,Left,1736 ,1795 ,1766 ,2.4 ,98 ,15 ,"1,493 ",,15 ,1 ,15 ,1 ,,,,,M045,,,,,
,,,Assay 2,,Right,509 ,517 ,513 ,1.1 ,25 ,17 ,410 ,,17 ,1 ,17 ,1 ,,,,,M046,,,,,
,,,Reanalysis 3,Optic nerve,Left,3673 ,3693 ,3683 ,0.4 ,146 ,11 ,"1,551 ",,11 ,1 ,11 ,1 ,,,,,M063,,,,,
,,,Reanalysis 3,,Right,508 ,507 ,508 ,0.1 ,15 ,51 ,760 ,,10 ,5 ,51 ,1 ,,,,,M064,,,,,
,,,Reanalysis 3,Iris,Left,698 ,700 ,699 ,0.2 ,22 ,61 ,"1,355 ",,6 ,10 ,61 ,1 ,,,,,M081,,,,,
,,,Reanalysis 3,,Right,994 ,1113 ,1054 ,8.0 ,36 ,8 ,276 ,,8 ,1 ,8 ,1 ,,,,,M082,,,,,
,,,Reanalysis 4,Aqueous,Left,503 ,503 ,503 ,0.0 ,18 ,20 ,351 ,,1 ,20 ,20 ,1 ,,,,,M099,,,,,
,,,Reanalysis 4,,Right,585 ,667 ,626 ,9.3 ,23 ,10 ,228 ,,1 ,10 ,10 ,1 ,,,,,M100,,,,,
,,,Assay 4,Serum,-,121 ,124 ,123 ,1.7 ,1 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M113,,,,,
,1203,D113,Reanalysis 2,Retina,Left,894 ,941 ,918 ,3.6 ,35 ,38 ,"1,322 ",,8 ,5 ,38 ,1 ,,,,,M011,,,,,
,,,Reanalysis 2,,Right,695 ,698 ,697 ,0.3 ,25 ,72 ,"1,816 ",,7 ,10 ,72 ,1 ,,,,,M012,,,,,
,,,Reanalysis 2,Vitreous,Left,1324 ,1394 ,1359 ,3.6 ,54 ,50 ,"2,696 ",,1 ,50 ,50 ,1 ,,,,,M029,,,,,
,,,Reanalysis 2,,Right,815 ,879 ,847 ,5.3 ,32 ,50 ,"1,579 ",,1 ,50 ,50 ,1 ,,,,,M030,,,,,
,,,Assay 2,Choroid,Left,1468 ,1520 ,1494 ,2.5 ,82 ,13 ,"1,090 ",,13 ,1 ,13 ,1 ,,,,,M047,,,,,
,,,Assay 2,,Right,569 ,589 ,579 ,2.4 ,29 ,27 ,784 ,,27 ,1 ,27 ,1 ,,,,,M048,,,,,
,,,Reanalysis 3,Optic nerve,Left,576 ,581 ,579 ,0.6 ,18 ,128 ,"2,255 ",,13 ,10 ,128 ,1 ,,,,,M065,,,,,
,,,Reanalysis 3,,Right,3336 ,3477 ,3407 ,2.9 ,134 ,14 ,"1,860 ",,14 ,1 ,14 ,1 ,,,,,M066,,,,,
,,,Reanalysis 3,Iris,Left,590 ,595 ,593 ,0.6 ,18 ,18 ,322 ,,4 ,5 ,18 ,1 ,,,,,M083,,,,,
,,,Reanalysis 3,,Right,2319 ,2286 ,2303 ,1.0 ,87 ,6 ,542 ,,6 ,1 ,6 ,1 ,,,,,M084,,,,,
,,,Reanalysis 4,Aqueous,Left,479 ,479 ,479 ,0.0 ,17 ,20 ,331 ,,1 ,20 ,20 ,1 ,,,,,M101,,,,,
,,,Reanalysis 4,,Right,410 ,412 ,411 ,0.3 ,14 ,10 ,137 ,,1 ,10 ,10 ,1 ,,,,,M102,,,,,
,,,Assay 4,Serum,-,120 ,120 ,120 ,0.0 ,1 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M114,,,,,
,BQL: Below the quantification limit (< 5.00 ng/mL),,,,,,,,,,,,,,,,,,,,,,,,,,
,AQL: Above the quantification limit (> 200 ng/mL),,,,,,,,,,,,,,,,,,,,,,,,,,
,-: Not calculated,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Animal ID,"Sampling
point","Analysis
name",Tissue,Side,Signal,,,,"Conc.
(ng/mL)","Dilution
factor","Final Conc.
(ng/mL)",,"Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor","Dilution
factor",검체 ID,,,,,
,,,,,,1,2,Mean,CV%,,,,,,,,,,,,,,,,,,
,1301,D113,Reanalysis 2,Retina,Left,636 ,635 ,636 ,0.1 ,22 ,64 ,"1,429 ",,6 ,10 ,64 ,1 ,,,,,M013,,,,,
,,,Assay 1,,Right,2644 ,2666 ,2655 ,0.6 ,134 ,19 ,"2,476 ",,19 ,1 ,19 ,1 ,,,,,M014,,,,,
,,,Reanalysis 2,Vitreous,Left,572 ,585 ,579 ,1.6 ,20 ,100 ,"1,998 ",,1 ,100 ,100 ,1 ,,,,,M031,,,,,
,,,Reanalysis 2,,Right,541 ,567 ,554 ,3.3 ,19 ,100 ,"1,892 ",,1 ,100 ,100 ,1 ,,,,,M032,,,,,
,,,Assay 2,Choroid,Left,1025 ,1016 ,1021 ,0.6 ,54 ,38 ,"2,040 ",,38 ,1 ,38 ,1 ,,,,,M049,,,,,
,,,Assay 2,,Right,681 ,684 ,683 ,0.3 ,35 ,27 ,947 ,,27 ,1 ,27 ,1 ,,,,,M050,,,,,
,,,Reanalysis 3,Optic nerve,Left,526 ,512 ,519 ,1.9 ,15 ,69 ,"1,057 ",,14 ,5 ,69 ,1 ,,,,,M067,,,,,
,,,Reanalysis 3,,Right,630 ,658 ,644 ,3.1 ,20 ,58 ,"1,162 ",,12 ,5 ,58 ,1 ,,,,,M068,,,,,
,,,Reanalysis 3,Iris,Left,749 ,792 ,771 ,3.9 ,25 ,42 ,"1,059 ",,4 ,10 ,42 ,1 ,,,,,M085,,,,,
,,,Reanalysis 3,,Right,2835 ,2903 ,2869 ,1.7 ,111 ,6 ,700 ,,6 ,1 ,6 ,1 ,,,,,M086,,,,,
,,,Reanalysis 4,Aqueous,Left,899 ,855 ,877 ,3.5 ,34 ,10 ,337 ,,1 ,10 ,10 ,1 ,,,,,M103,,,,,
,,,Reanalysis 4,,Right,847 ,835 ,841 ,1.0 ,32 ,10 ,321 ,,1 ,10 ,10 ,1 ,,,,,M104,,,,,
,,,Assay 4,Serum,-,118 ,128 ,123 ,5.7 ,1 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M115,,,,,
,1302,D113,Reanalysis 2,Retina,Left,712 ,717 ,715 ,0.5 ,26 ,84 ,"2,181 ",,8 ,10 ,84 ,1 ,,,,,M015,,,,,
,,,Reanalysis 2,,Right,1037 ,1006 ,1022 ,2.1 ,39 ,68 ,"2,682 ",,14 ,5 ,68 ,1 ,,,,,M016,,,,,
,,,Reanalysis 2,Vitreous,Left,564 ,560 ,562 ,0.5 ,19 ,100 ,"1,927 ",,1 ,100 ,100 ,1 ,,,,,M033,,,,,
,,,Reanalysis 2,,Right,537 ,526 ,532 ,1.5 ,18 ,100 ,"1,796 ",,1 ,100 ,100 ,1 ,,,,,M034,,,,,
,,,Assay 2,Choroid,Left,1187 ,1195 ,1191 ,0.5 ,64 ,19 ,"1,230 ",,19 ,1 ,19 ,1 ,,,,,M051,,,,,
,,,Assay 2,,Right,551 ,539 ,545 ,1.6 ,27 ,24 ,627 ,,24 ,1 ,24 ,1 ,,,,,M052,,,,,
,,,Reanalysis 3,Optic nerve,Left,651 ,605 ,628 ,5.2 ,19 ,98 ,"1,910 ",,20 ,5 ,98 ,1 ,,,,,M069,,,,,
,,,Reanalysis 3,,Right,588 ,604 ,596 ,1.9 ,18 ,87 ,"1,588 ",,17 ,5 ,87 ,1 ,,,,,M070,,,,,
,,,Reanalysis 3,Iris,Left,1039 ,1117 ,1078 ,5.1 ,37 ,8 ,288 ,,8 ,1 ,8 ,1 ,,,,,M087,,,,,
,,,Reanalysis 3,,Right,938 ,936 ,937 ,0.2 ,32 ,10 ,325 ,,10 ,1 ,10 ,1 ,,,,,M088,,,,,
,,,Reanalysis 4,Aqueous,Left,578 ,587 ,583 ,1.1 ,21 ,10 ,210 ,,1 ,10 ,10 ,1 ,,,,,M105,,,,,
,,,Reanalysis 4,,Right,551 ,537 ,544 ,1.8 ,19 ,10 ,193 ,,1 ,10 ,10 ,1 ,,,,,M106,,,,,
,,,Assay 4,Serum,-,123 ,127 ,125 ,2.3 ,1 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M116,,,,,
,1303,D113,Reanalysis 2,Retina,Left,745 ,779 ,762 ,3.2 ,28 ,77 ,"2,154 ",,8 ,10 ,77 ,1 ,,,,,M017,,,,,
,,,Reanalysis 2,,Right,885 ,856 ,871 ,2.4 ,33 ,54 ,"1,762 ",,11 ,5 ,54 ,1 ,,,,,M018,,,,,
,,,Reanalysis 2,Vitreous,Left,534 ,557 ,546 ,3.0 ,19 ,100 ,"1,856 ",,1 ,100 ,100 ,1 ,,,,,M035,,,,,
,,,Reanalysis 2,,Right,495 ,537 ,516 ,5.8 ,17 ,100 ,"1,729 ",,1 ,100 ,100 ,1 ,,,,,M036,,,,,
,,,Assay 2,Choroid,Left,528 ,527 ,528 ,0.1 ,26 ,13 ,325 ,,13 ,1 ,13 ,1 ,,,,,M053,,,,,
,,,Assay 2,,Right,610 ,602 ,606 ,0.9 ,30 ,19 ,558 ,,19 ,1 ,19 ,1 ,,,,,M054,,,,,
,,,Reanalysis 3,Optic nerve,Left,829 ,845 ,837 ,1.4 ,28 ,114 ,"3,135 ",,11 ,10 ,114 ,1 ,,,,,M071,,,,,
,,,Reanalysis 3,,Right,518 ,538 ,528 ,2.7 ,16 ,67 ,"1,052 ",,13 ,5 ,67 ,1 ,,,,,M072,,,,,
,,,Reanalysis 3,Iris,Left,96 ,98 ,97 ,1.5 ,0 ,5 ,BQL,,5 ,1 ,5 ,1 ,,,,,M089,,,,,
,,,Reanalysis 3,,Right,1042 ,1097 ,1070 ,3.6 ,37 ,6 ,218 ,,6 ,1 ,6 ,1 ,,,,,M090,,,,,
,,,Reanalysis 4,Aqueous,Left,822 ,759 ,791 ,5.6 ,30 ,10 ,299 ,,1 ,10 ,10 ,1 ,,,,,M107,,,,,
,,,Assay 4,,Right,4290 ,4085 ,4188 ,3.5 ,194 ,1 ,194 ,,1 ,1 ,1 ,1 ,,,,,M108,,,,,
,,,Assay 4,Serum,-,118 ,124 ,121 ,3.5 ,1 ,1 ,BQL,,1 ,1 ,1 ,1 ,,,,,M117,,,,,
,BQL: Below the quantification limit (< 5.00 ng/mL),,,,,,,,,,,,,,,,,,,,,,,,,,
,AQL: Above the quantification limit (> 200 ng/mL),,,,,,,,,,,,,,,,,,,,,,,,,,
,-: Not calculated,,,,,,,,,,,,,,,,,,,,,,,,,,
